signal_date,entry_date,exit_date,entry_price,stop_price,target_price,exit_price,atr_at_signal,outcome,r_multiple,split,holding_period_days,entry_bar,exit_bar,bars_held,stop_distance,target_distance,cond_weekly_ok,cond_daily_trend_ok,cond_pullback,cond_confirm,weekly_separation,weekly_ema10,weekly_ema20,weekly_close,weekly_ema_separation_pct,price_vs_weekly_ema20_pct,ema20_ema50_gap,ema20_ema50_gap_atr,ema50_slope5,atr_pct,atr_pctile_100,breakout_pips,breakout_atr,candle_range,candle_body,candle_range_atr,concurrent_positions,win_streak_at_exit,loss_streak_at_exit,exit_year,exit_month,exit_quarter
2004-08-13,2004-08-16,2004-08-23,1.2375500000000001,1.2270199154744221,1.2586101690511562,1.2270199154744221,0.010530084525577982,stop,-1.0,train,7,183,188,6,0.01053008452557802,0.02106016905115604,True,True,True,True,1.2201183675669935,1.2197337787622795,1.2194852092906239,1.2277,0.00020246759929594792,0.006736277444606889,0.0012902683589004482,0.12253162410675209,0.0017679434061765864,0.008511222539264453,0.17,82.99999999999973,0.7882177944383023,0.019500000000000073,0.012399999999999967,1.8518369869333735,1,0,1,2004,2004-08,2004Q3
2004-10-08,2004-10-11,2004-10-12,1.2418500000000001,1.2326706269873777,1.260208746025245,1.2326706269873777,0.009179373012622368,stop,-1.0,train,1,223,224,2,0.009179373012622394,0.018358746025244788,True,True,True,True,1.2290592487184517,1.224257778912624,1.2221206594368084,1.2414,0.001721539774299775,0.015775316794068614,0.004784924266565849,0.5212691825450603,0.001605427431930595,0.00739735112629734,0.06,96.9999999999982,1.056717053186699,0.014700000000000157,0.012399999999999967,1.6014165651386525,1,0,2,2004,2004-10,2004Q4
2005-03-04,2005-03-07,2005-03-10,1.3238500000000002,1.3136908015089515,1.3441683969820974,1.3441683969820974,0.01015919849104863,target,1.9999999999999782,train,3,328,331,4,0.010159198491048738,0.020318396982097253,True,True,True,True,1.3113629861195097,1.3074893838317534,1.298129024168507,1.3241,0.007069224124496889,0.02000646726786517,0.0021761047171264813,0.21420043313888085,0.0018642454245862972,0.007671951737689646,0.18,79.00000000000017,0.7776204005621886,0.015800000000000036,0.013700000000000045,1.5552408011243772,1,1,0,2005,2005-03,2005Q1
2006-04-11,2006-04-12,2006-04-18,1.21395,1.204637744100992,1.2325745117980162,1.2325745117980162,0.009312255899008092,target,1.9999999999999762,train,6,615,619,5,0.009312255899008193,0.018624511798016163,True,True,True,True,1.2107151601514257,1.2041529133579414,1.2030577058094258,1.2091,0.0009058039438553909,0.005022447519679805,0.005367661744571706,0.576408316393394,0.0025050196952172143,0.007671353405559018,0.4,9.999999999998899,0.1073853651408362,0.006299999999999972,0.0027999999999999137,0.6765278003873396,2,2,0,2006,2006-04,2006Q2
2006-04-17,2006-04-18,2006-04-26,1.2255500000000001,1.2162180955661297,1.2442138088677412,1.2442138088677412,0.00933190443387051,target,2.000000000000024,train,8,619,625,7,0.009331904433870442,0.018663808867741105,True,True,True,True,1.2120938517700648,1.2053796563837702,1.203804590970433,1.2109,0.0013007394610102365,0.005894153488688142,0.005387938056144126,0.5773674703084609,0.0017074970047461502,0.007614773099853536,0.43,139.00000000000023,1.4895137534359475,0.016799999999999926,0.013500000000000068,1.8002756156635804,2,3,0,2006,2006-04,2006Q2
2006-07-26,2006-07-27,2006-08-21,1.2716500000000002,1.261756739875401,1.2914365202491986,1.2914365202491986,0.009893260124599224,target,2.0000000000000226,train,25,691,708,18,0.009893260124599124,0.01978652024919847,True,True,True,True,1.2656091844718362,1.2664497368654108,1.253966268240394,1.2694,0.0098341489089466,0.012307932159342023,0.0017896177534557633,0.1808926209274479,0.0002634952789299927,0.007781390691048626,0.54,45.000000000001705,0.4548551178606016,0.016100000000000003,0.01330000000000009,1.6273705327900911,2,4,0,2006,2006-08,2006Q3
2006-08-15,2006-08-16,2006-09-08,1.27855,1.2689770871381107,1.2976958257237785,1.2689770871381107,0.009572912861889233,stop,-1.0,train,23,705,722,18,0.009572912861889327,0.01914582572377843,True,True,True,True,1.2754274833333965,1.2716775793951047,1.2602435626671915,1.2721,0.008988300234190096,0.009408052287698596,0.005210430661998222,0.5442889470708013,0.0016004540828635783,0.007488198421377685,0.35,22.999999999999687,0.2402612489200136,0.009600000000000053,0.006299999999999972,1.0028295607096411,4,0,2,2006,2006-09,2006Q3
2006-08-28,2006-08-29,2006-09-08,1.27845,1.2696724552216818,1.2960050895566366,1.2696724552216818,0.008777544778318252,stop,-1.0,train,10,714,722,9,0.00877754477831827,0.01755508955663654,True,True,True,True,1.278125226169029,1.2738982143058137,1.263568539961125,1.2752,0.00810043471195796,0.009205246625745206,0.00482323167652976,0.5494966757040999,0.0009785462672171619,0.006866039407320285,0.02,3.9999999999995595,0.045570829896306675,0.00649999999999995,0.0024999999999999467,0.7405259858150594,3,0,3,2006,2006-09,2006Q3
2006-08-29,2006-08-30,2006-09-07,1.28325,1.2744637084201331,1.300822583159734,1.2744637084201331,0.008786291579866958,stop,-1.0,train,8,715,721,7,0.008786291579866878,0.01757258315973398,True,True,True,True,1.2785704427243596,1.2738982143058137,1.263568539961125,1.2752,0.00810043471195796,0.009205246625745206,0.004895977427644471,0.557229108906787,0.0010303679822283307,0.006849307436753164,0.03,8.999999999999009,0.10243229374064645,0.00890000000000013,0.0044999999999999485,1.012941571435408,3,0,1,2006,2006-09,2006Q3
2006-12-19,2006-12-20,2006-12-26,1.31965,1.310302431767748,1.338345136464504,1.310302431767748,0.009347568232251989,stop,-1.0,train,6,795,798,4,0.009347568232251913,0.018695136464504047,True,True,True,True,1.3135754442359335,1.297401204042341,1.285096909793098,1.3079,0.009407672030922137,0.01774425728762619,0.015264922515929369,1.6330367574382272,0.003603882321713714,0.007083637641900567,0.9,80.00000000000007,0.8558375613025796,0.013199999999999878,0.00990000000000002,1.4121319761492421,1,0,4,2006,2006-12,2006Q4
