signal_date,entry_date,exit_date,entry_price,stop_price,target_price,exit_price,atr_at_signal,outcome,r_multiple,split
2004-08-13,2004-08-16,2004-08-23,1.2375500000000001,1.2270199154744221,1.2586101690511562,1.2270199154744221,0.010530084525577982,stop,-1.0,train
2004-10-08,2004-10-11,2004-10-12,1.2418500000000001,1.2326706269873777,1.260208746025245,1.2326706269873777,0.009179373012622368,stop,-1.0,train
2005-03-04,2005-03-07,2005-03-10,1.3238500000000002,1.3136908015089515,1.3441683969820974,1.3441683969820974,0.01015919849104863,target,1.9999999999999782,train
2006-04-11,2006-04-12,2006-04-18,1.21395,1.204637744100992,1.2325745117980162,1.2325745117980162,0.009312255899008092,target,1.9999999999999762,train
2006-04-17,2006-04-18,2006-04-26,1.2255500000000001,1.2162180955661297,1.2442138088677412,1.2442138088677412,0.00933190443387051,target,2.000000000000024,train
2006-07-26,2006-07-27,2006-08-21,1.2716500000000002,1.261756739875401,1.2914365202491986,1.2914365202491986,0.009893260124599224,target,2.0000000000000226,train
2006-08-15,2006-08-16,2006-09-08,1.27855,1.2689770871381107,1.2976958257237785,1.2689770871381107,0.009572912861889233,stop,-1.0,train
2006-08-28,2006-08-29,2006-09-08,1.27845,1.2696724552216818,1.2960050895566366,1.2696724552216818,0.008777544778318252,stop,-1.0,train
2006-08-29,2006-08-30,2006-09-07,1.28325,1.2744637084201331,1.300822583159734,1.2744637084201331,0.008786291579866958,stop,-1.0,train
2006-12-19,2006-12-20,2006-12-26,1.31965,1.310302431767748,1.338345136464504,1.310302431767748,0.009347568232251989,stop,-1.0,train
2007-03-07,2007-03-08,2007-03-09,1.3180500000000002,1.3107198173960488,1.332710365207903,1.3107198173960488,0.007330182603951431,stop,-1.0,train
2007-03-12,2007-03-13,2007-03-16,1.31905,1.3116726271206702,1.33380474575866,1.33380474575866,0.007377372879329932,target,2.00000000000003,train
2007-05-15,2007-05-16,2007-05-16,1.35935,1.3525431468696758,1.3729637062606486,1.3525431468696758,0.006806853130324274,stop,-1.0,train
2007-06-04,2007-06-05,2007-06-07,1.34925,1.3428171050480227,1.3621157899039547,1.3428171050480227,0.006432894951977335,stop,-1.0,train
2007-06-29,2007-07-02,2007-07-10,1.3544500000000002,1.3484104546834828,1.366529090633035,1.366529090633035,0.006039545316517407,target,2.0,train
2007-08-03,2007-08-06,2007-08-07,1.38375,1.3763991553713764,1.3984516892572474,1.3763991553713764,0.007350844628623657,stop,-1.0,train
2007-09-05,2007-09-06,2007-09-11,1.3648500000000001,1.3564189463293959,1.3817121073412089,1.3817121073412089,0.008431053670604358,target,2.000000000000026,train
2007-12-04,2007-12-05,2007-12-05,1.47645,1.4654381475886575,1.4984737048226853,1.4654381475886575,0.011011852411342603,stop,-1.0,train
2007-12-10,2007-12-11,2007-12-13,1.47195,1.4609072517513444,1.4940354964973115,1.4609072517513444,0.011042748248655674,stop,-1.0,train
2008-01-22,2008-01-23,2008-01-23,1.4669500000000002,1.4529753016727267,1.494899396654547,1.4529753016727267,0.01397469832727342,stop,-1.0,train
2008-01-24,2008-01-25,2008-02-06,1.4757500000000001,1.4613243672586267,1.5046012654827472,1.4613243672586267,0.01442563274137351,stop,-1.0,train
2008-01-28,2008-01-29,2008-02-05,1.47875,1.4645921840138156,1.5070656319723685,1.4645921840138156,0.014157815986184312,stop,-1.0,train
2008-02-19,2008-02-20,2008-02-20,1.4730500000000002,1.4616476838147405,1.4958546323705195,1.4616476838147405,0.011402316185259692,stop,-1.0,train
2008-05-20,2008-05-21,2008-05-29,1.56525,1.550332441847606,1.595085116304788,1.550332441847606,0.014917558152393996,stop,-1.0,train
2008-06-25,2008-06-26,2008-07-14,1.56655,1.5518420961724306,1.5959658076551388,1.5961,0.014707903827569398,gap_target,2.009123825287018,train
2009-06-09,2009-06-10,2009-06-15,1.40745,1.3878908675005623,1.4465682649988756,1.3878908675005623,0.01955913249943777,stop,-1.0,train
2009-06-17,2009-06-18,2009-08-03,1.3944500000000002,1.3744266626282844,1.4344966747434316,1.4344966747434316,0.020023337371715706,target,1.999999999999989,train
2009-06-23,2009-06-24,2009-07-06,1.40745,1.3882603410382766,1.4458293179234472,1.3882603410382766,0.019189658961723553,stop,-1.0,train
2009-07-09,2009-07-10,2009-08-03,1.40225,1.385309236163703,1.4361315276725939,1.4361315276725939,0.01694076383629698,target,1.999999999999987,train
2009-07-15,2009-07-16,2009-08-03,1.41025,1.3942388495437192,1.4422723009125613,1.4422723009125613,0.01601115045628066,target,1.9999999999999862,train
2009-07-31,2009-08-03,2009-08-10,1.4268500000000002,1.4120009593146379,1.4565480813707246,1.4120009593146379,0.014849040685362207,stop,-1.0,train
2009-08-12,2009-08-13,2009-08-17,1.42045,1.4061521891182605,1.449045621763479,1.4061521891182605,0.01429781088173949,stop,-1.0,train
2009-08-19,2009-08-20,2009-09-08,1.4233500000000001,1.4091645300400992,1.451720939919802,1.451720939919802,0.014185469959900832,target,2.0,train
2009-10-05,2009-10-06,2009-10-14,1.4650500000000002,1.4523883235039154,1.4903733529921694,1.4903733529921694,0.012661676496084677,target,1.9999999999999825,train
2009-11-04,2009-11-05,2009-12-08,1.4877500000000001,1.4734330575446934,1.5163838849106133,1.4734330575446934,0.014316942455306578,stop,-1.0,train
2009-11-23,2009-11-24,2009-12-04,1.4959500000000001,1.4822111738141914,1.5234276523716175,1.4822111738141914,0.013738826185808675,stop,-1.0,train
2010-10-28,2010-10-29,2010-11-04,1.3929500000000001,1.376595086791155,1.4256598264176905,1.4256598264176905,0.016354913208845225,target,2.0,train
2010-10-29,2010-11-01,2010-11-09,1.39725,1.3810418663060724,1.4296662673878555,1.3810418663060724,0.016208133693927707,stop,-1.0,train
2011-02-16,2011-02-17,2011-02-25,1.3563500000000002,1.3426979712130462,1.3836540575739078,1.3836540575739078,0.013652028786953834,target,1.9999999999999838,train
2011-02-17,2011-02-18,2011-03-02,1.3607500000000001,1.347487401840686,1.3872751963186287,1.3872751963186287,0.013262598159314274,target,2.000000000000017,train
2011-02-18,2011-02-21,2011-02-22,1.36915,1.3556204445663511,1.396209110867298,1.3556204445663511,0.013529555433648963,stop,-1.0,train
2011-06-14,2011-06-15,2011-06-15,1.44445,1.4292733798206407,1.4748032403587183,1.4292733798206407,0.015176620179359224,stop,-1.0,train
2011-08-26,2011-08-29,2011-09-01,1.4493500000000001,1.4321584883568148,1.4837330232863708,1.4321584883568148,0.017191511643185366,stop,-1.0,train
2012-09-27,2012-09-28,2012-10-01,1.29145,1.281240664587428,1.3118686708251444,1.281240664587428,0.010209335412572157,stop,-1.0,train
2012-10-11,2012-10-12,2012-10-17,1.29305,1.2828271046990651,1.3134957906018696,1.3134957906018696,0.010222895300934837,target,1.9999999999999782,train
2012-10-30,2012-10-31,2012-11-02,1.29675,1.2877068085945684,1.3148363828108631,1.2877068085945684,0.009043191405431583,stop,-1.0,train
2012-12-11,2012-12-12,2012-12-17,1.30085,1.2925924604083794,1.3173650791832414,1.3181,0.008257539591620643,gap_target,2.0889999749446426,train
2013-01-07,2013-01-08,2013-01-11,1.31265,1.303370520578993,1.3312089588420144,1.3312089588420144,0.009279479421007156,target,2.0,train
2013-01-10,2013-01-11,2013-01-25,1.32675,1.3167163205947696,1.3468173588104613,1.3468173588104613,0.010033679405230572,target,2.000000000000022,train
2013-02-12,2013-02-13,2013-02-14,1.34525,1.334781537068162,1.366186925863676,1.334781537068162,0.010468462931838025,stop,-1.0,train
2013-08-15,2013-08-16,2013-08-29,1.33515,1.3261570988065887,1.353135802386823,1.3261570988065887,0.008992901193411448,stop,-1.0,train
2013-10-17,2013-10-18,2013-10-31,1.36735,1.3590446788558326,1.3839606422883353,1.3590446788558326,0.008305321144167564,stop,-1.0,train
2013-11-22,2013-11-25,2013-12-09,1.35545,1.3462013856027937,1.3739472287944128,1.3739472287944128,0.00924861439720635,target,2.0,train
2013-11-26,2013-11-27,2013-12-09,1.3567500000000001,1.3479182865656743,1.3744134268686519,1.3744134268686519,0.008831713434325879,target,2.0,train
2013-12-05,2013-12-06,2013-12-27,1.36735,1.358841877648115,1.3843662447037701,1.3843662447037701,0.008508122351885045,target,2.0,train
2014-03-24,2014-03-25,2014-03-25,1.38385,1.3758895705176049,1.3997708589647904,1.3758895705176049,0.007960429482395157,stop,-1.0,train
2014-04-09,2014-04-10,2014-04-30,1.38545,1.3779858577523507,1.4003782844952988,1.3779858577523507,0.007464142247649403,stop,-1.0,train
2014-04-28,2014-04-29,2014-04-30,1.38515,1.3794709478542282,1.3965081042915442,1.3794709478542282,0.0056790521457719895,stop,-1.0,train
2015-09-28,2015-09-29,2015-10-14,1.1242500000000002,1.1123139291925308,1.148122141614939,1.148122141614939,0.011936070807469406,target,2.0,train
2016-03-10,2016-03-11,2016-03-16,1.1181100000000002,1.1062181276832699,1.1418937446334605,1.1062181276832699,0.01189187231673022,stop,-1.0,train
2016-03-16,2016-03-17,2016-04-07,1.1217300000000001,1.1099039620148343,1.1453820759703317,1.1453820759703317,0.011826037985165839,target,2.0,train
2016-04-26,2016-04-27,2016-05-02,1.1298700000000002,1.1209964863606483,1.1476170272787038,1.1476170272787038,0.008873513639351838,target,2.0,train
2016-05-11,2016-05-12,2016-05-13,1.1428,1.134366421632378,1.1596671567352437,1.134366421632378,0.008433578367621822,stop,-1.0,train
2017-05-12,2017-05-15,2017-05-16,1.0934400000000002,1.0863300544701666,1.1076598910596676,1.1076598910596676,0.0071099455298336625,target,2.000000000000031,train
2017-06-23,2017-06-26,2017-06-27,1.1195400000000002,1.1131105642303274,1.132398871539346,1.132398871539346,0.006429435769672908,target,2.0000000000000346,train
2017-06-27,2017-06-28,2017-07-11,1.1337300000000001,1.1266562007904353,1.1478775984191298,1.1478775984191298,0.00707379920956489,target,2.0,train
2017-08-21,2017-08-22,2017-08-29,1.18155,1.1726015966899468,1.199446806620107,1.199446806620107,0.008948403310053374,target,2.000000000000025,train
2017-10-19,2017-10-20,2017-10-20,1.1848100000000001,1.1773819731026853,1.1996660537946295,1.1773819731026853,0.0074280268973147484,stop,-1.0,train
2017-10-25,2017-10-26,2017-10-26,1.18174,1.1745674212251611,1.1960851575496776,1.1745674212251611,0.007172578774838807,stop,-1.0,train
2017-12-19,2017-12-20,2017-12-29,1.1843400000000002,1.1769062562184027,1.1992074875631953,1.1992074875631953,0.0074337437815975085,target,2.0000000000000298,train
2018-01-11,2018-01-12,2018-01-15,1.2039900000000001,1.1963869696632272,1.219196060673546,1.22046,0.007603030336772934,gap_target,2.1662415208763544,train
