Date,Open,High,Low,Close,Volume
1993-01-29,24.0706413304314,24.0706413304314,23.950886895951641,24.053533554077148,1003200
1993-02-01,24.070639400158896,24.224609375,24.070639400158896,24.224609375,480500
1993-02-02,24.207506919091987,24.293045812799026,24.156183582867765,24.275938034057617,201300
1993-02-03,24.31014783345838,24.549656679108217,24.293040058769108,24.532548904418945,529400
1993-02-04,24.618088910314775,24.686520012219749,24.344364502694873,24.635196685791016,531500
1993-02-05,24.618083953857422,24.669407269953023,24.481221777602478,24.618083953857422,492100
1993-02-08,24.618083953857422,24.703622814016757,24.583868409793684,24.618083953857422,596100
1993-02-09,24.532554655829205,24.532554655829205,24.39569242622904,24.447015762329102,122100
1993-02-10,24.446995180024711,24.498318472914896,24.378564122837798,24.481210708618164,379600
1993-02-11,24.515443783310424,24.703629325261865,24.515443783310424,24.600982666015625,19500
1993-02-12,24.566777518686084,24.566777518686084,24.412807464599613,24.412807464599609,42500
1993-02-16,24.344363854995823,24.344363854995823,23.76269950427913,23.796915054321289,374800
1993-02-17,23.796923454888432,23.83113901700905,23.694276768526585,23.779815673828125,210900
1993-02-18,24.053539020711352,24.053539020711352,23.437658931987588,23.762706756591797,378100
1993-02-19,23.762710520663596,23.848249435424805,23.728494954759114,23.848249435424805,34900
1993-02-22,23.916672892703424,23.967996225091198,23.848241782853055,23.933780670166016,513600
1993-02-23,24.002210636166204,24.019318412813504,23.796917316398567,23.916671752929688,373700
1993-02-24,23.933777200300138,24.224609375,23.933777200300138,24.224609375,26300
1993-02-25,24.207506919091987,24.293045812799026,24.156183582867765,24.275938034057617,44500
1993-02-26,24.327263648874066,24.327263648874066,24.190401406123719,24.310155868530273,66200
1993-03-01,24.395678677017113,24.395678677017113,24.207493217376729,24.241708755493164,66500
1993-03-02,24.258827135194821,24.600982666015625,24.224611582112743,24.600982666015625,182400
1993-03-03,24.635186023659326,24.720724864019253,24.600970487515355,24.703617095947266,280100
1993-03-04,24.73784258106625,24.73784258106625,24.566764831542969,24.566764831542969,89500
1993-03-05,24.600979623847834,24.703626270400747,24.481225202869439,24.498332977294922,40000
1993-03-08,24.549665972183313,25.045791625976566,24.549665972183313,25.045791625976562,50800
1993-03-09,24.994451134559469,25.011558903987641,24.908912287418609,24.960235595703125,169300
1993-03-10,24.960237128626957,25.011560440063477,24.857590505753919,25.011560440063477,194400
1993-03-11,25.028671263340243,25.097102353602281,24.908916855381676,24.943132400512695,70900
1993-03-12,24.737839125793837,24.754946898356625,24.532545855040361,24.686515808105469,643600
1993-03-15,24.669419797700026,24.806282043457031,24.669419797700026,24.806282043457031,310800
1993-03-16,24.806282043457031,24.874713166335535,24.806282043457031,24.806282043457031,30800
1993-03-17,24.772046620609199,24.772046620609199,24.61807671758055,24.652292251586914,21800
1993-03-18,24.754958701298154,24.908928727774786,24.754958701298154,24.806282043457031,59300
1993-03-19,24.906229138291604,24.906229138291604,24.768720626831055,24.768720626831055,66900
1993-03-22,24.528088447852976,24.682785571910912,24.510899878513204,24.631219863891602,183400
1993-03-23,24.699977420498737,24.717165992120517,24.648411705633393,24.682788848876953,55200
1993-03-24,24.648411705633393,24.785920278607637,24.528091704280929,24.682788848876953,37200
1993-03-25,24.699972002234013,24.889046248597669,24.665594866531531,24.837480545043945,110100
1993-03-26,24.820301711600774,24.837490286193294,24.682793114860605,24.699981689453125,101500
1993-03-29,24.717165359423049,24.923428213604605,24.717165359423049,24.803108215332031,87100
1993-03-30,24.83747955512078,24.871856689453125,24.803102420788431,24.871856689453125,56000
1993-03-31,24.940606669931164,25.00936092677453,24.854663848876957,24.854663848876953,111600
1993-04-01,24.889040574359036,24.889040574359036,24.717154935033353,24.768720626831055,129500
1993-04-02,24.562474731347987,24.562474731347987,24.253080368041992,24.253080368041992,59400
1993-04-05,24.442154035581687,24.442154035581687,24.304645433412453,24.37339973449707,172200
1993-04-06,24.424946397838024,24.424946397838024,24.23587221741845,24.30462646484375,129700
1993-04-07,24.339021130293673,24.390586853027344,24.28745540756,24.390586853027344,28000
1993-04-08,24.493711635775355,24.493711635775355,24.253071661809841,24.356203079223633,180800
1993-04-12,24.596850241897997,24.717170264045645,24.562473092712953,24.699981689453125,348500
1993-04-13,24.682790660858156,24.837487816810611,24.665602087974552,24.751544952392578,146100
1993-04-14,24.768732617395475,24.785921189649049,24.699978328381192,24.717166900634766,119600
1993-04-15,24.699978328381192,24.768732617395475,24.614035467113339,24.717166900634766,148600
1993-04-16,24.734355472888335,24.768732617395475,24.682789756127622,24.717166900634766,47900
1993-04-19,24.71716608281908,24.785920369558493,24.596846081025106,24.614034652709961,157000
1993-04-20,24.579658146908411,24.61403529116982,24.339018137078536,24.493715286254883,279500
1993-04-21,24.545276722211518,24.545276722211518,24.407768169145907,24.476522445678711,67900
1993-04-22,24.373396204681178,24.579659078063532,24.167133331298828,24.167133331298828,97700
1993-04-23,24.115559154238021,24.184313421249392,24.02961632047381,24.063993453979492,106000
1993-04-26,24.081196164981851,24.167139049225185,23.806178935403189,23.874933242797852,62600
1993-04-27,23.840549553221788,24.132755279541016,23.840549553221788,24.132755279541016,156800
1993-04-28,24.0983691382289,24.149934835386308,24.046803441071493,24.081180572509766,85900
