period,start_date,end_date,trading_days,fast_ma_days,slow_ma_days,position_sizing,position_sizing_mode,position_sizing_amount,transaction_cost_pct_per_side,slippage_pct_per_side,final_portfolio_value,total_return_pct,annualized_return_pct,max_drawdown_pct,completed_trades,win_rate_pct,average_winning_trade_usd,average_losing_trade_usd,profit_factor,largest_losing_streak,exposure_days,exposure_pct,open_shares_at_end,signals_skipped_missing_open,buy_hold_final_value,buy_hold_return_pct,excess_return_vs_buy_hold_pp
development_70pct,1993-01-29,2016-08-12,5929,50,200,25pct_equity,equity_fraction,0.25,0.1,0.05,18520.133642,85.20133642,2.65317445,8.97510097,10,80.0,1091.292232,-201.249369,21.69034837,1,4124,69.55641761,25.7583524809,0,76886.242038,668.86242038,-583.66108396
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,25pct_equity,equity_fraction,0.25,0.1,0.05,12385.469574,23.85469574,2.13905664,9.73252977,3,66.66666667,948.733321,-256.314532,7.4028836,1,1553,61.09362707,4.7708410496,0,41124.552091,311.24552091,-287.39082517
2010-2015,2010-01-04,2015-12-31,1510,50,200,25pct_equity,equity_fraction,0.25,0.1,0.05,11431.427807,14.31427807,2.25942296,4.84336608,2,100.0,722.337128,,inf,0,1138,75.36423841,16.6358933436,0,20433.488308,104.33488308,-90.02060502
2016-2020,2016-01-04,2020-12-31,1259,50,200,25pct_equity,equity_fraction,0.25,0.1,0.05,11046.129497,10.46129497,2.01344944,9.73252977,2,50.0,818.165939,-277.285314,2.95062846,1,1048,83.2406672,9.0821682229,0,20477.673883,104.77673883,-94.31544386
2021-2026,2021-01-04,2026-09-24,1438,50,200,25pct_equity,equity_fraction,0.25,0.1,0.05,11554.460075,15.54460075,2.55844501,6.40707642,1,100.0,860.082977,,inf,0,869,60.43115438,4.4507389972,0,22002.901834,120.02901834,-104.48441759
full_history,1993-01-29,2026-09-24,8471,50,200,25pct_equity,equity_fraction,0.25,0.1,0.1,24449.8644,144.498644,2.69241315,9.72560801,14,71.42857143,1391.023515,-230.732709,15.07180669,1,6264,73.94640538,9.4160779265,0,317447.877878,3074.47877878,-2929.98013478
development_70pct,1993-01-29,2016-08-12,5929,50,200,25pct_equity,equity_fraction,0.25,0.1,0.1,18461.415713,84.61415713,2.63932435,8.9703589,10,70.0,1240.910019,-137.310238,21.08696884,1,4124,69.55641761,25.6704745393,0,76809.394181,668.09394181,-583.47978468
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,25pct_equity,equity_fraction,0.25,0.1,0.1,12371.202448,23.71202448,2.12741083,9.72560801,3,66.66666667,944.8649,-258.557097,7.30875239,1,1553,61.09362707,4.764370239,0,41083.44807,310.8344807,-287.12245622
2010-2015,2010-01-04,2015-12-31,1510,50,200,25pct_equity,equity_fraction,0.25,0.1,0.1,11421.789318,14.21789318,2.24501821,4.83987881,2,50.0,1439.511954,-1.639249,878.15307513,1,1138,75.36423841,16.6177019583,0,20413.065022,104.13065022,-89.91275704
2016-2020,2016-01-04,2020-12-31,1259,50,200,25pct_equity,equity_fraction,0.25,0.1,0.1,11037.064333,10.37064333,1.99667032,9.72560801,2,50.0,814.84943,-279.625607,2.91407299,1,1048,83.2406672,9.0727601303,0,20457.206433,104.57206433,-94.20142099
2021-2026,2021-01-04,2026-09-24,1438,50,200,25pct_equity,equity_fraction,0.25,0.1,0.1,11547.480296,15.47480296,2.54761014,6.40285876,1,100.0,856.724572,,inf,0,869,60.43115438,4.4471401781,0,21980.909917,119.80909917,-104.33429621
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.0,0.0,55456.525839,454.56525839,5.22233656,18.53612986,14,78.57142857,3835.404429,-1034.199798,13.59809739,1,6264,73.94640538,40.2944569342,0,318720.212787,3087.20212787,-2632.63686948
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.0,0.0,32108.354005,221.08354005,5.08156977,13.8670673,10,80.0,2834.496678,-637.835129,17.77573263,1,4124,69.55641761,88.3938042485,0,77117.247156,671.17247156,-450.08893151
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.0,0.0,15151.62421,51.5162421,4.19643237,18.53612986,3,66.66666667,1955.235896,-499.146734,7.83431309,1,1553,61.09362707,11.0091005518,0,41248.111024,312.48111024,-260.96486814
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.0,0.0,12922.10181,29.2210181,4.3743314,9.32907172,2,100.0,1466.350529,,inf,0,1138,75.36423841,37.6541714921,0,20494.880831,104.94880831,-75.72779022
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.0,0.0,12155.92653,21.5592653,3.98910609,18.53612986,2,50.0,1656.270772,-581.818948,2.84671164,1,1048,83.2406672,19.1124363056,0,20539.199162,105.39199162,-83.83272632
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.0,0.0,13263.825347,32.63825347,5.06255415,11.43264523,1,100.0,1740.356729,,inf,0,869,60.43115438,9.6374345692,0,22069.009668,120.69009668,-88.05184321
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.0,0.05,55000.60405,450.0060405,5.19652663,18.52778359,14,78.57142857,3803.317435,-1042.019502,13.3831442,1,6264,73.94640538,39.9654814523,0,318401.651855,3084.01651855,-2634.01047805
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.0,0.05,31916.080493,219.16080493,5.05475525,13.86330421,10,80.0,2815.254106,-646.906367,17.40749047,1,4124,69.55641761,87.8654470316,0,77040.168448,670.40168448,-451.24087955
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.0,0.05,15118.494597,51.18494597,4.17387094,18.52778359,3,66.66666667,1946.552983,-503.645338,7.72985606,1,1553,61.09362707,10.9856596279,0,41206.883526,312.06883526,-260.88388929
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.0,0.05,12901.277931,29.01277931,4.34622176,9.32477086,2,100.0,1459.155365,,inf,0,1138,75.36423841,37.5934766341,0,20474.396193,104.74396193,-75.73118262
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.0,0.05,12136.627433,21.36627433,3.95600699,18.52778359,2,50.0,1649.617827,-586.727571,2.81155669,1,1048,83.2406672,19.0829417296,0,20518.670227,105.18670227,-83.82042794
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.0,0.05,13248.828432,32.48828432,5.04177463,11.4281811,1,100.0,1733.619741,,inf,0,869,60.43115438,9.6270907589,0,22046.951687,120.46951687,-87.98123255
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.0,0.1,54548.630448,445.48630448,5.1707345,18.51943649,14,78.57142857,3771.47988,-1049.736561,13.17355237,1,6264,73.94640538,39.6393372449,0,318083.409165,3080.83409165,-2635.34778717
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.0,0.1,31725.043641,217.25043641,5.02795957,13.85953939,10,80.0,2796.118197,-655.894866,17.05223409,1,4124,69.55641761,87.3404827419,0,76963.166742,669.63166742,-452.38123101
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.0,0.1,15085.452244,50.85452244,4.15132451,18.51943649,3,66.66666667,1937.890564,-508.139448,7.62739666,1,1553,61.09362707,10.962279421,0,41165.697215,311.65697215,-260.80244971
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.0,0.1,12880.497097,28.80497097,4.31813252,9.32046965,2,100.0,1451.971348,,inf,0,1138,75.36423841,37.5329072547,0,20453.932019,104.53932019,-75.73434922
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.0,0.1,12117.367962,21.17367962,3.92293386,18.51943649,2,50.0,1642.971529,-591.625312,2.77704739,1,1048,83.2406672,19.0535068364,0,20498.161801,104.98161801,-83.80793839
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.0,0.1,13233.854969,32.33854969,5.02100823,11.423716,1,100.0,1726.889483,,inf,0,869,60.43115438,9.6167628012,0,22024.915742,120.24915742,-87.91060774
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.05,0.0,55000.60405,450.0060405,5.19652663,18.52778359,14,78.57142857,3803.317435,-1042.019502,13.3831442,1,6264,73.94640538,39.9654814523,0,318401.651855,3084.01651855,-2634.01047805
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.05,0.0,31916.080493,219.16080493,5.05475525,13.86330421,10,80.0,2815.254106,-646.906367,17.40749047,1,4124,69.55641761,87.8654470316,0,77040.168448,670.40168448,-451.24087955
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.05,0.0,15118.494597,51.18494597,4.17387094,18.52778359,3,66.66666667,1946.552983,-503.645338,7.72985606,1,1553,61.09362707,10.9856596279,0,41206.883526,312.06883526,-260.88388929
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.05,0.0,12901.277931,29.01277931,4.34622176,9.32477086,2,100.0,1459.155365,,inf,0,1138,75.36423841,37.5934766341,0,20474.396193,104.74396193,-75.73118262
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.05,0.0,12136.627433,21.36627433,3.95600699,18.52778359,2,50.0,1649.617827,-586.727571,2.81155669,1,1048,83.2406672,19.0829417296,0,20518.670227,105.18670227,-83.82042794
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.05,0.0,13248.828432,32.48828432,5.04177463,11.4281811,1,100.0,1733.619741,,inf,0,869,60.43115438,9.6270907589,0,22046.951687,120.46951687,-87.98123255
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.05,0.05,54548.630673,445.48630673,5.17073451,18.51943649,14,78.57142857,3771.479896,-1049.736557,13.17355247,1,6264,73.94640538,39.6393274974,0,318083.409324,3080.83409324,-2635.34778651
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.05,0.05,31725.043736,217.25043736,5.02795959,13.85953939,10,80.0,2796.118207,-655.894861,17.05223427,1,4124,69.55641761,87.3404611684,0,76963.16678,669.6316678,-452.38123044
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.05,0.05,15085.452261,50.85452261,4.15132452,18.51943649,3,66.66666667,1937.890568,-508.139445,7.62739671,1,1553,61.09362707,10.9622766921,0,41165.697236,311.65697236,-260.80244975
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.05,0.05,12880.497107,28.80497107,4.31813253,9.32046966,2,100.0,1451.971352,,inf,0,1138,75.36423841,37.5328979018,0,20453.932029,104.53932029,-75.73434922
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.05,0.05,12117.367971,21.17367971,3.92293388,18.51943649,2,50.0,1642.971533,-591.62531,2.77704741,1,1048,83.2406672,19.0535020877,0,20498.161811,104.98161811,-83.8079384
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.05,0.05,13233.854976,32.33854976,5.02100824,11.423716,1,100.0,1726.889486,,inf,0,869,60.43115438,9.6167604022,0,22024.915753,120.24915753,-87.91060777
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.05,0.1,54100.569756,441.00569756,5.14496016,18.51108857,14,78.57142857,3739.889722,-1057.35201,12.96912368,1,6264,73.94640538,39.3159795007,0,317765.484718,3077.65484718,-2636.64914962
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.05,0.1,31535.235218,215.35235218,5.00118275,13.85577286,10,80.0,2777.088344,-664.801306,16.70928333,1,4124,69.55641761,86.8188454246,0,76886.242038,668.86242038,-453.5100682
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.05,0.1,15052.49693,50.5249693,4.1287931,18.51108857,3,66.66666667,1929.248598,-512.629063,7.52687952,1,1553,61.09362707,10.9389543104,0,41124.552091,311.24552091,-260.72055161
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.05,0.1,12859.759228,28.59759228,4.2900637,9.31616812,2,100.0,1444.798467,,inf,0,1138,75.36423841,37.4724443888,0,20433.488308,104.33488308,-75.7372908
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.05,0.1,12098.148044,20.98148044,3.88988673,18.51108857,2,50.0,1636.331878,-596.512191,2.74316586,1,1048,83.2406672,19.0241220082,0,20477.673883,104.77673883,-83.79525839
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.05,0.1,13218.90493,32.1890493,5.00025497,11.41924992,1,100.0,1720.165955,,inf,0,869,60.43115438,9.6064458765,0,22002.901834,120.02901834,-87.83996904
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.1,0.0,54548.630448,445.48630448,5.1707345,18.51943649,14,78.57142857,3771.47988,-1049.736561,13.17355237,1,6264,73.94640538,39.6393372449,0,318083.409165,3080.83409165,-2635.34778717
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.1,0.0,31725.043641,217.25043641,5.02795957,13.85953939,10,80.0,2796.118197,-655.894866,17.05223409,1,4124,69.55641761,87.3404827419,0,76963.166742,669.63166742,-452.38123101
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.1,0.0,15085.452244,50.85452244,4.15132451,18.51943649,3,66.66666667,1937.890564,-508.139448,7.62739666,1,1553,61.09362707,10.962279421,0,41165.697215,311.65697215,-260.80244971
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.1,0.0,12880.497097,28.80497097,4.31813252,9.32046965,2,100.0,1451.971348,,inf,0,1138,75.36423841,37.5329072547,0,20453.932019,104.53932019,-75.73434922
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.1,0.0,12117.367962,21.17367962,3.92293386,18.51943649,2,50.0,1642.971529,-591.625312,2.77704739,1,1048,83.2406672,19.0535068364,0,20498.161801,104.98161801,-83.80793839
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.1,0.0,13233.854969,32.33854969,5.02100823,11.423716,1,100.0,1726.889483,,inf,0,869,60.43115438,9.6167628012,0,22024.915742,120.24915742,-87.91060774
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.1,0.05,54100.569756,441.00569756,5.14496016,18.51108857,14,78.57142857,3739.889722,-1057.35201,12.96912368,1,6264,73.94640538,39.3159795007,0,317765.484718,3077.65484718,-2636.64914962
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.1,0.05,31535.235218,215.35235218,5.00118275,13.85577286,10,80.0,2777.088344,-664.801306,16.70928333,1,4124,69.55641761,86.8188454246,0,76886.242038,668.86242038,-453.5100682
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.1,0.05,15052.49693,50.5249693,4.1287931,18.51108857,3,66.66666667,1929.248598,-512.629063,7.52687952,1,1553,61.09362707,10.9389543104,0,41124.552091,311.24552091,-260.72055161
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.1,0.05,12859.759228,28.59759228,4.2900637,9.31616812,2,100.0,1444.798467,,inf,0,1138,75.36423841,37.4724443888,0,20433.488308,104.33488308,-75.7372908
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.1,0.05,12098.148044,20.98148044,3.88988673,18.51108857,2,50.0,1636.331878,-596.512191,2.74316586,1,1048,83.2406672,19.0241220082,0,20477.673883,104.77673883,-83.79525839
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.1,0.05,13218.90493,32.1890493,5.00025497,11.41924992,1,100.0,1720.165955,,inf,0,869,60.43115438,9.6064458765,0,22002.901834,120.02901834,-87.83996904
full_history,1993-01-29,2026-09-24,8471,50,200,50pct_equity,equity_fraction,0.5,0.1,0.1,53656.386129,436.56386129,5.1192036,18.50273983,14,71.42857143,4080.211384,-800.680215,12.7398283,1,6264,73.94640538,38.9954026338,0,317447.877878,3074.47877878,-2637.91491749
development_70pct,1993-01-29,2016-08-12,5929,50,200,50pct_equity,equity_fraction,0.5,0.1,0.1,31346.646675,213.46646675,4.97442474,13.8520046,10,70.0,3153.347345,-451.790988,16.2858726,1,4124,69.55641761,86.3005555803,0,76809.394181,668.09394181,-454.62747506
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,50pct_equity,equity_fraction,0.5,0.1,0.1,15019.628367,50.19628367,4.10627669,18.50273983,3,66.66666667,1920.627026,-517.114194,7.42825105,1,1553,61.09362707,10.9156895914,0,41083.44807,310.8344807,-260.63819703
2010-2015,2010-01-04,2015-12-31,1510,50,200,50pct_equity,equity_fraction,0.5,0.1,0.1,12839.064206,28.39064206,4.26201526,9.31186626,2,50.0,2878.551886,-3.278499,878.00910033,1,1138,75.36423841,37.4121064838,0,20413.065022,104.13065022,-75.74000815
2016-2020,2016-01-04,2020-12-31,1259,50,200,50pct_equity,equity_fraction,0.5,0.1,0.1,12078.967569,20.78967569,3.85686554,18.50273983,2,50.0,1629.698859,-601.388235,2.70989481,1,1048,83.2406672,18.9947966216,0,20457.206433,104.57206433,-83.78238863
2021-2026,2021-01-04,2026-09-24,1438,50,200,50pct_equity,equity_fraction,0.5,0.1,0.1,13203.978261,32.03978261,4.97951481,11.41478286,1,100.0,1713.449144,,inf,0,869,60.43115438,9.5961447611,0,21980.909917,119.80909917,-87.76931656
